i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
66 1.08967 0 1.9607 0.0127 0.0004 0.5415 1.242 0.0682 0.0204 0.0112
67 1.11763 0 1.9832 0.0126 0.0003 0.5754 1.2342 0.0652 0.0205 0.0113
68 1.15812 0 1.973 0.0129 0.0004 0.5428 1.2359 0.08 0.023 0.0113
69 1.14849 0 1.9673 0.0126 0.0004 0.5436 1.2342 0.0738 0.0225 0.0114
70 1.12998 0 1.9927 0.0152 0.0004 0.5581 1.2548 0.0685 0.0206 0.0113
71 1.13698 0 1.9563 0.0126 0.0004 0.5434 1.231 0.0702 0.0221 0.0113
72 1.16778 0 1.9406 0.0126 0.0004 0.5426 1.2264 0.0656 0.0198 0.0114
73 1.14832 0 1.9573 0.013 0.0004 0.5546 1.2224 0.0686 0.0215 0.0113
74 1.14553 0 1.9738 0.0126 0.0004 0.5423 1.2456 0.0731 0.0222 0.0114
75 1.17201 0 1.959 0.0126 0.0003 0.5446 1.2399 0.0663 0.0206 0.0118
76 1.14748 0 1.9684 0.0126 0.0005 0.5407 1.2439 0.0737 0.0216 0.0113
77 1.15429 0 1.9674 0.0128 0.0004 0.5439 1.2339 0.075 0.0235 0.0113
78 1.08779 0 1.977 0.0127 0.0004 0.5514 1.2425 0.072 0.0217 0.0114
79 1.12186 0 1.954 0.0126 0.0004 0.544 1.235 0.0671 0.0205 0.0112
80 1.11912 0 1.9506 0.0126 0.0006 0.5428 1.2254 0.0713 0.0211 0.0113
81 1.14604 0 2.1994 0.0126 0.0005 0.6901 1.3339 0.0661 0.0211 0.0114
82 1.13461 0 1.9631 0.0127 0.0004 0.5426 1.2353 0.0727 0.0222 0.0113
83 1.20061 0 1.9738 0.0126 0.0004 0.5473 1.2447 0.0706 0.0219 0.0113
84 1.12445 0 1.9554 0.0127 0.0003 0.5425 1.2329 0.0689 0.0214 0.0112
85 1.11107 0 1.9487 0.0126 0.0004 0.5488 1.2266 0.0656 0.0206 0.0114
86 1.13493 0 1.956 0.0126 0.0003 0.5428 1.2357 0.0676 0.0208 0.0113
87 1.09518 0 1.9531 0.0126 0.0003 0.5483 1.2277 0.068 0.0213 0.0116
88 1.10278 0 1.9784 0.0126 0.0004 0.5427 1.2565 0.0692 0.0214 0.0113
89 1.14665 0 1.9473 0.0127 0.0006 0.5447 1.2206 0.07 0.0216 0.0114
90 1.17123 0 1.9665 0.0125 0.0003 0.5428 1.2351 0.0752 0.0229 0.0115
91 1.13067 0 1.9516 0.0125 0.0004 0.5448 1.2292 0.0681 0.0212 0.0113
92 1.12018 0 1.9582 0.0126 0.0003 0.5423 1.2322 0.0724 0.0217 0.0115
93 1.11959 0 1.9679 0.0125 0.0003 0.5464 1.228 0.073 0.0221 0.0139
94 1.08843 0 1.9787 0.0126 0.0004 0.5422 1.2499 0.073 0.0228 0.0112
95 1.10907 0 1.9607 0.0126 0.0004 0.544 1.2412 0.067 0.0209 0.0113
96 1.14932 0 1.9712 0.0126 0.0005 0.5425 1.2369 0.0763 0.0238 0.0115
97 1.18934 0 1.9805 0.0125 0.0004 0.544 1.2539 0.0708 0.0219 0.0113
98 1.12838 0 1.9481 0.0126 0.0004 0.5426 1.2316 0.0665 0.0201 0.0114
99 1.14699 0 1.96 0.0125 0.0004 0.5491 1.2315 0.0693 0.0221 0.0113
100 1.08354 0 1.9717 0.0126 0.0004 0.564 1.229 0.0683 0.0215 0.0113
101 1.13552 0 2.0057 0.0127 0.0005 0.5436 1.2754 0.0715 0.0218 0.0127
102 1.13646 0 1.9862 0.0126 0.0005 0.555 1.2502 0.0692 0.0219 0.0114
103 1.11924 0 1.9468 0.0127 0.0008 0.5434 1.2168 0.0752 0.0216 0.0113
104 1.1764 0 1.9573 0.0126 0.0005 0.5408 1.2302 0.075 0.0217 0.0114
105 1.13411 0 1.9594 0.0125 0.0004 0.5414 1.2297 0.0751 0.0223 0.012
106 1.17461 0 1.9507 0.0127 0.0004 0.5428 1.2183 0.0756 0.0231 0.0112
107 1.17199 0 1.9607 0.0126 0.0005 0.5417 1.2312 0.0761 0.0224 0.0114
108 1.12483 0 1.9498 0.0126 0.0003 0.5427 1.2291 0.0685 0.0208 0.0113
109 1.15199 0 1.949 0.0126 0.0004 0.5448 1.2269 0.0677 0.0212 0.0114
110 1.13576 0 1.9703 0.0129 0.0005 0.5419 1.2387 0.0758 0.023 0.0115
111 1.16191 0 1.9728 0.0152 0.0004 0.5512 1.2326 0.0745 0.0224 0.0113
112 1.194 0 1.9966 0.0125 0.0003 0.5621 1.2388 0.0812 0.0233 0.0113
113 1.11254 0 1.9529 0.0127 0.0005 0.5439 1.2278 0.0716 0.0207 0.0112
114 1.08629 0 1.9486 0.0125 0.0005 0.5417 1.2329 0.0666 0.0204 0.0114
115 1.12474 0 1.9624 0.0126 0.0004 0.5428 1.2328 0.0757 0.0221 0.0114
116 1.14808 0 1.9567 0.0126 0.0007 0.5474 1.2275 0.0713 0.0214 0.0113
117 1.12214 0 1.9641 0.0126 0.0005 0.5423 1.2365 0.0732 0.0222 0.0112
118 1.16147 0 1.987 0.0126 0.0004 0.5577 1.2494 0.0698 0.0212 0.0114
119 1.14029 0 1.9671 0.0126 0.0007 0.5434 1.2384 0.0731 0.0224 0.0112
120 1.1249 0 1.9494 0.0126 0.0008 0.5424 1.2261 0.0698 0.0215 0.0114
121 1.15355 0 1.9646 0.0125 0.0003 0.5405 1.2401 0.0711 0.0223 0.0113
122 1.06787 0 1.9634 0.0126 0.0006 0.5437 1.2312 0.0759 0.0224 0.0113
123 1.14189 0 1.9763 0.013 0.0004 0.5427 1.2341 0.0841 0.0241 0.0113
124 1.16275 0 1.9698 0.015 0.0006 0.5431 1.237 0.0724 0.021 0.0127
125 1.14632 0 1.9565 0.0126 0.0005 0.5416 1.2299 0.0734 0.0219 0.0114
126 1.16359 0 1.9622 0.0135 0.0005 0.5429 1.2338 0.074 0.0218 0.0114
127 1.12307 0 1.9614 0.0126 0.0005 0.5425 1.2305 0.0747 0.0231 0.0113
128 1.12853 0 1.958 0.0125 0.0004 0.5443 1.2315 0.0718 0.0216 0.0112
129 1.15148 0 1.944 0.0127 0.0004 0.542 1.2137 0.0752 0.0224 0.0114
130 1.12378 0 1.9321 0.0126 0.0005 0.5408 1.2138 0.0687 0.0211 0.0113
131 1.13535 0 1.9762 0.0128 0.0005 0.541 1.2505 0.0712 0.0233 0.0116
132 1.14809 0 1.9478 0.0129 0.0004 0.5435 1.2259 0.0689 0.021 0.0112
133 1.15308 0 1.9644 0.0125 0.0005 0.5423 1.2301 0.0774 0.0235 0.0113
134 1.08966 0 1.9478 0.0125 0.0004 0.5416 1.2323 0.0662 0.0202 0.0113
135 1.09856 0 1.9526 0.0125 0.0005 0.5426 1.2299 0.0703 0.0211 0.0113
136 1.13345 0 1.9584 0.0127 0.0005 0.5405 1.2203 0.0799 0.0241 0.0114
137 1.17674 0 1.9569 0.0126 0.0005 0.5425 1.2307 0.0718 0.0221 0.0113
138 1.1333 0 1.9583 0.0152 0.0007 0.5505 1.2269 0.0708 0.0205 0.0112
139 1.17269 0 1.9686 0.0126 0.0007 0.5436 1.2344 0.0759 0.0235 0.0114
140 1.13816 0 1.9588 0.0127 0.0007 0.5526 1.2281 0.068 0.0205 0.0113
141 1.15395 0 2.0561 0.0126 0.0005 0.6412 1.2332 0.07 0.0212 0.0115
142 1.14848 0 1.9774 0.013 0.0007 0.5588 1.2379 0.0693 0.0214 0.0114
143 1.14063 0 1.9276 0.0126 0.0008 0.5431 1.2155 0.0627 0.0191 0.0113
144 1.13139 0 1.9481 0.0126 0.0006 0.5461 1.2133 0.0759 0.0224 0.0114
145 1.14434 0 1.973 0.0126 0.0005 0.5441 1.2434 0.0736 0.0221 0.0113
146 1.14738 0 1.9825 0.0126 0.0005 0.547 1.2505 0.073 0.0222 0.0114
147 1.14755 0 1.9503 0.0126 0.0006 0.5433 1.227 0.0699 0.0211 0.0113
148 1.12404 0 1.9613 0.0126 0.0006 0.5439 1.2298 0.0741 0.0223 0.0113
149 1.14854 0 1.9601 0.0125 0.0005 0.543 1.2345 0.0711 0.022 0.0114
150 1.09793 0 1.9499 0.0127 0.0007 0.5429 1.2268 0.0713 0.0207 0.0112
151 1.13252 0 1.9587 0.0127 0.0004 0.5467 1.2261 0.073 0.0224 0.0113
152 1.09733 0 1.9776 0.0145 0.0003 0.5438 1.2379 0.0823 0.0229 0.0113
153 1.10359 0 1.9503 0.0129 0.0004 0.5442 1.2309 0.0669 0.0205 0.0113
154 1.13106 0 1.9792 0.0126 0.0005 0.5418 1.2598 0.0675 0.0209 0.0116
155 1.13568 0 1.9786 0.0126 0.0004 0.5442 1.2477 0.074 0.0226 0.0113
156 1.14985 0 2.1288 0.0126 0.0003 0.6906 1.2604 0.0682 0.0204 0.0113
157 1.14997 0 1.9612 0.0126 0.0005 0.5435 1.2377 0.07 0.0215 0.0113
158 1.15369 0 1.966 0.0125 0.0008 0.5433 1.2433 0.0688 0.0213 0.0114
159 1.15376 0 1.9442 0.0127 0.0004 0.5429 1.2139 0.0745 0.0223 0.0113
160 1.16929 0 1.9483 0.0126 0.0004 0.5432 1.2267 0.0691 0.0208 0.0113
161 1.18079 0 1.9684 0.0127 0.0004 0.5423 1.2351 0.0646 0.021 0.0292
162 1.12197 0 1.9561 0.0126 0.0005 0.5438 1.2308 0.0689 0.0225 0.0113
163 1.14728 0 1.9507 0.0126 0.0004 0.5424 1.228 0.0686 0.0223 0.0114
164 1.1511 0 2.253 0.0126 0.0004 0.6954 1.3677 0.0706 0.0203 0.0139
165 1.13978 0 1.9626 0.0126 0.0005 0.5417 1.2357 0.0728 0.0221 0.0114
166 1.17153 0 1.9546 0.0126 0.0004 0.5488 1.2303 0.0658 0.0211 0.0113
167 1.13648 0 1.9762 0.0126 0.0004 0.543 1.2444 0.0739 0.0233 0.0114
168 1.14024 0 1.9344 0.0126 0.0008 0.5427 1.2112 0.0691 0.022 0.0113
169 1.11135 0 1.9518 0.0125 0.0004 0.543 1.2264 0.0685 0.0215 0.0113
170 1.15388 0 1.9521 0.0126 0.0004 0.5431 1.2276 0.0705 0.0213 0.0112
171 1.15979 0 1.9576 0.0125 0.0003 0.5442 1.2282 0.074 0.022 0.0113
172 1.1223 0 1.9879 0.0151 0.0004 0.5568 1.2301 0.0867 0.0226 0.0113
173 1.12935 0 1.9371 0.0126 0.0003 0.5426 1.2265 0.0635 0.0193 0.0114
174 1.14424 0 1.938 0.0127 0.0004 0.5416 1.225 0.0646 0.0196 0.0113
175 1.14155 0 1.9655 0.0126 0.0003 0.5454 1.2347 0.0731 0.0228 0.0113
176 1.16694 0 1.9597 0.0126 0.0004 0.5423 1.2322 0.0734 0.0223 0.0113
177 1.16358 0 1.976 0.0126 0.0005 0.5634 1.2354 0.0679 0.0202 0.0113
178 1.14393 0 1.9611 0.0126 0.0005 0.5432 1.2309 0.0699 0.0219 0.0114
179 1.1484 0 1.9512 0.0126 0.0003 0.5467 1.2282 0.0673 0.0206 0.0113
180 1.14698 0 2.2345 0.0126 0.0003 0.6901 1.3626 0.0666 0.0191 0.014
181 1.13797 0 1.9513 0.0126 0.0005 0.5477 1.2288 0.0668 0.0203 0.0113
182 1.10771 0 1.9693 0.014 0.0005 0.5476 1.2314 0.075 0.0228 0.0114
183 1.15154 0 1.9552 0.0126 0.0004 0.5445 1.2288 0.0703 0.0221 0.0113
184 1.11382 0 1.9488 0.0127 0.0004 0.546 1.2308 0.0643 0.0204 0.0113
185 1.15412 0 1.9534 0.0125 0.0008 0.5428 1.2339 0.0661 0.0209 0.0114
186 1.13316 0 2.2217 0.0126 0.0005 0.6928 1.358 0.0586 0.0177 0.014
187 1.11834 0 1.9553 0.0126 0.0004 0.5437 1.2328 0.0687 0.0216 0.0113
188 1.12703 0 1.9578 0.0125 0.0004 0.5447 1.2346 0.0689 0.0217 0.0113
189 1.14157 0 1.9698 0.0126 0.0004 0.5429 1.2514 0.0668 0.0206 0.0112
190 1.16949 0 1.9429 0.0126 0.0005 0.5435 1.2281 0.0638 0.0199 0.0112
191 1.135 0 1.9763 0.0163 0.0007 0.5529 1.2325 0.073 0.0219 0.0114
192 1.1274 0 1.989 0.0126 0.0004 0.5407 1.2579 0.0736 0.0243 0.0113
193 1.13996 0 1.9664 0.0126 0.0006 0.5431 1.2368 0.0734 0.0228 0.0114
194 1.14767 0 1.9952 0.0126 0.0006 0.5654 1.2449 0.0704 0.0216 0.0113
195 1.17531 0 1.9778 0.0126 0.0005 0.5429 1.244 0.0713 0.0216 0.014
196 1.14333 0 1.9519 0.0126 0.0005 0.5422 1.2263 0.0712 0.0223 0.0113
