i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
65 1.15532 0 0.77312 0.047104 0.03584 0.038912 0.039936 0.03584 0.032768 0.032768
66 1.13 0 0.774144 0.04608 0.036864 0.036864 0.038912 0.036864 0.032768 0.032768
67 1.12446 0 0.779264 0.04608 0.034816 0.037888 0.039936 0.036864 0.032768 0.033792
68 1.09827 0 0.786432 0.047104 0.036864 0.037888 0.039936 0.036864 0.032768 0.032768
69 1.10695 0 0.817152 0.047104 0.031744 0.036864 0.039936 0.03584 0.032768 0.032768
70 1.14661 0 0.78336 0.047104 0.03584 0.037888 0.038912 0.036864 0.032768 0.033792
71 1.09529 0 0.799744 0.047104 0.034816 0.043008 0.038912 0.036864 0.032768 0.032768
72 1.13496 0 0.787456 0.047104 0.039936 0.037888 0.038912 0.036864 0.032768 0.032768
73 1.12442 0 0.79872 0.047104 0.03584 0.037888 0.039936 0.036864 0.032768 0.032768
74 1.16356 0 0.784384 0.04608 0.03584 0.038912 0.039936 0.036864 0.032768 0.033792
75 1.14988 0 0.77824 0.04608 0.036864 0.037888 0.038912 0.036864 0.032768 0.033792
76 1.17986 0 0.801792 0.048128 0.039936 0.036864 0.038912 0.036864 0.032768 0.033792
77 1.13505 0 0.816128 0.047104 0.034816 0.036864 0.034816 0.036864 0.032768 0.032768
78 1.12021 0 0.755712 0.04608 0.03584 0.037888 0.037888 0.036864 0.032768 0.032768
79 1.16334 0 0.799744 0.047104 0.034816 0.038912 0.038912 0.036864 0.032768 0.032768
80 1.13894 0 0.776192 0.047104 0.03584 0.037888 0.038912 0.036864 0.031744 0.032768
81 1.15603 0 0.815104 0.047104 0.03584 0.037888 0.038912 0.03584 0.032768 0.028672
82 1.14437 0 0.792576 0.047104 0.03584 0.038912 0.038912 0.03584 0.032768 0.032768
83 1.13846 0 0.792576 0.047104 0.03584 0.037888 0.038912 0.036864 0.032768 0.033792
84 1.07503 0 0.802816 0.04608 0.034816 0.037888 0.039936 0.036864 0.032768 0.033792
85 1.12932 0 0.779264 0.04608 0.034816 0.037888 0.037888 0.036864 0.032768 0.032768
86 1.14308 0 0.777216 0.04608 0.03584 0.037888 0.039936 0.03584 0.032768 0.033792
87 1.14007 0 0.821248 0.04608 0.03584 0.037888 0.038912 0.037888 0.032768 0.032768
88 1.14797 0 0.815104 0.047104 0.03584 0.037888 0.038912 0.036864 0.031744 0.032768
