i miss avg t_all t_grey t_g t_blur t_sob t_max t_thresh t_hys
65 1.14664 0 4.6986 0.008192 0.006144 0.006144 0.00624 0.005344 0.006144 0.004896
66 1.11364 0 5.4226 0.007168 0.006144 0.005984 0.006144 0.00512 0.006144 0.00416
67 1.15932 0 5.1296 0.00816 0.006144 0.005376 0.006048 0.006144 0.006144 0.004096
68 1.13062 0 5.5812 0.008192 0.006336 0.007136 0.00512 0.006144 0.006144 0.004096
69 1.14885 0 5.1594 0.00912 0.006144 0.00512 0.006144 0.005248 0.006144 0.004032
70 1.11605 0 4.9845 0.007168 0.006144 0.00512 0.006208 0.006144 0.006976 0.004096
71 1.13481 0 4.8091 0.006144 0.006144 0.00528 0.006144 0.00512 0.006144 0.004096
72 1.15497 0 4.8871 0.006144 0.006144 0.00512 0.006144 0.006144 0.006144 0.004096
73 1.15877 0 4.5689 0.008192 0.006048 0.006144 0.006144 0.00512 0.00608 0.003936
74 1.17676 0 4.8291 0.007072 0.006144 0.006144 0.006144 0.00512 0.006144 0.004096
75 1.15578 0 4.9231 0.007136 0.006144 0.005184 0.006144 0.006144 0.006144 0.004096
76 1.09574 0 4.8427 0.007168 0.006144 0.005152 0.006176 0.006144 0.006144 0.00432
77 1.18272 0 4.8578 0.007168 0.006208 0.005152 0.006144 0.00512 0.006048 0.004096
78 1.14849 0 5.1036 0.00736 0.006144 0.005312 0.006048 0.00512 0.005312 0.004864
79 1.17564 0 4.8601 0.007104 0.006144 0.005376 0.006016 0.006144 0.006048 0.004096
80 1.15341 0 4.7548 0.006144 0.006144 0.005952 0.006112 0.00512 0.004096 0.004096
81 1.13545 0 5.2103 0.007392 0.005376 0.00512 0.006144 0.005312 0.006144 0.004096
82 1.17021 0 4.8745 0.008192 0.006144 0.006144 0.006144 0.006144 0.00512 0.004096
83 1.18346 0 4.8978 0.007168 0.006144 0.005216 0.005248 0.005184 0.005248 0.004096
84 1.13227 0 4.982 0.008192 0.006144 0.005984 0.006112 0.006144 0.006144 0.004096
85 1.15856 0 4.6413 0.008192 0.006016 0.00512 0.006144 0.00512 0.004896 0.004096
86 1.10031 0 5.002 0.008192 0.006144 0.00592 0.006144 0.006144 0.006144 0.004096
